text,label,set
"What is the general thrust and nature of the outputs in your Project Proposal? (maximum200words) For example: advocacy, capacity building, legal reform, promotion of indigenous rights, justice, inclusive voice, awareness-raising, gender, climate change. See framing in Section2 of the Concept Note Guidance.",1,train
"Q2.2 Project summary
NOTE: this summary may be published on the OCEAN website and used to promote your project if successful. (Max 150 words)",1,train
Specific context for the project presented to A Tree for You: 10.1. Target groups and final beneficiaries: 10.1.6. Average plot size / description of the plots / total project area,1,train
Estimate of Total budget (GBP) (Amount to be requested from FGMC),0,train
Main Activities (max.300 words) List and describe the main activities that the project will implement to achieve the above outputs and outcomes in detail. The project breakdown should be consistent with the Logical Framework (Appendix1).,1,train
Number of employees (full-time equivalent in most recent year),0,train
18. BUDGET NARRATIVE,1,train
"13.2. Nurseries: 13.2.2. How are the seedlings obtained? Where the nurseries use which reproduction methods (for each species)? If there are seeds, where do they come from?",1,train
"Nature of organisation (e.g. INGO, Federation)",0,train
Name of the organization / Postal address / Country,0,train
15. Expected benefits of this project: 15.2. Describe the expected benefits for people and the associated time frame: 15.2.1. Benefits for the local economy,1,train
Specific context for the project presented to A Tree for You: 10.1. Target groups and final beneficiaries: 10.1.3. Number of expected direct beneficiaries,0,train
"13. Species and planting plans: 13.1. List of planned species: 13.1.1. Indicate the list of species (Latin names mandatory). For each species, indicate the objectives in terms of the number of trees planted and the number of trees expected in the end (after recovery or even after the first thinnings  indicate at what date you place them)",1,train
Project title:,0,train
"A19 Name of donor, Amount, Funding start and finish dates, Name of project/purpose for which funding was provided °, mm/yyyy, , °, mm/yyyy, , °, mm/yyyy, , °, mm/yyyy, , °, mm/yyyy, ",0,train
D2. Explanation (if required),1,train
"Q4.11 Project scaling potential
Describe what aspect of your project has the potential to be applicable in other contexts or can benefit more people. What evidence do you have to support this? How do you plan to identify whether an approach or solution resulting from the project is scalable? If the project is trialling novel or innovative approaches with less evidence available, what is your plan for scaling these initiatives if successful? (Max 250 words)",1,train
"C3 Relevance b) Relevance: Intervention (maximum600words) How will your Project engage with processes that lead to change? This part of the section should explain the nature and logic behind your proposed approach and activities and how the Project will engage with the situational analysis presented in the previous section (C3a). This section should contain an explanation of the underlying hypothesis (or causality) through which the proposed activities will seek to bring about change and explain how your organisation will engage with these processes or political spaces. We would expect you to detail the political processes, formal or otherwise, that your proposed project will be engaging in at the country, regional or global level, and to explain how and why these processes are expected to deliver results.",1,train
15. Expected benefits of this project: 15.1. Describe the benefits for the environment and the associated time frame: 15.1.2. For the water cycle,1,train
B. Amount requested (USD):  Amount of co-share if any (USD):  Total Cost (USD):,0,train
Number of seedlings distributed by species to the beneficiaries*,0,train
Organisation name,0,train
"Specific context for the project presented to A Tree for You: 10.1. Target groups and final beneficiaries: 10.1.1. Profile (family, owners, association, cooperative, etc.)",0,train
11. KEY PERSONNEL,0,train
"Q1.8 Lead organisations number and roles of volunteers
If your organisation relies substantially on volunteers, tell us how many volunteers you have and the role they play in your organisation. If your organisation does not rely substantially on volunteers, indicate N/A.",0,train
13.2. Nurseries: 13.2.1. Will the nursery be set up specifically for the project or will you use nurserymen (local / further away)?,0,train
Project Title (Please keep the project title clear and concise):,0,train
2.5 Accountability to Affected People,1,train
"Q4.12 Project alignment with national policies and priorities
Detail how your project complements or contributes to national policies and priorities. Where possible, we recommend that you reach out to your local / national government department to ensure that your project aligns with national policies and priorities or other actions in your area. (Max 250 words)",1,train
"16. Project risks: 16.2. Do you have feedback from a similar project (same area, same issues, same type of impacted population)? 16.2.1. Quick description of the project(s)",1,train
Proposed Project Budget (total in USD): Year1 : USD Year2 : USD Total Budget : USD,0,train
"Q2.10 Project dates
Write dates as day/month/year.
Start date: __________    End date: __________    Duration in months: __________",0,train
"Does your organisation have the capacity to implement the proposed intervention? Please elaborate (Max150words) This refers to in-house and partner personnel and other resources that are available to the organisation to implement the intervention. If you answered 'Not yet', please let us know of any expansion plans to enable proper management of the grant. Yes Not yet",1,train
"Field Project Manager (if different from the project manager): 6.1. Last name, first name / Position / Email address / Telephone",0,train
"Q6.1 Project risk register
Provide a project risk register by completing the template provided. Include at least one Fiduciary, one Safeguarding, one Delivery Chain, and one GEDSI related risk. (Upload your completed template as an Excel file)",1,train
5. DESCRIPTION OF PROJECT ACTIVITIES,1,train
4.5 Cash Transfer Modality(ies): Direct Cash Transfer / Direct Payment / Reimbursement,0,train
13. PROJECT SUSTAINABILITY,1,train
"Q8.2 If the answer to the question Project matched funding arrangements is Yes, have you already secured the matched funding? ? Yes ? No
If No, clarify how you will deliver the project if you do not manage to secure matched funding. (Max 200 words)",0,train
Q4.15 Is your project working in at least one Upper Middle-Income Country/ies (UMICs)? ? Yes ? No,0,train
4.4 Other: Partnership review,1,train
10. ANTICIPATED OUTPUTS OF THE PROJECT,1,train
"Q4.2 Project description
Describe your project to help us understand how it addresses the problem. Where relevant, specify how women, youth, people living with disabilities, or other marginalised communities will be included as beneficiaries and stakeholders. (Max 750 words)",1,train
15. Expected benefits of this project: 15.1. Describe the benefits for the environment and the associated time frame: 15.1.5. For carbon capture,1,train
"Q3.1 Is this a resubmission of a previously unsuccessful application to OCEAN? ? Yes ? No

If Yes, indicate the annual application round, stage, and application number of the previous application. Use the provided Word template to provide your response to feedback. (Max 150 words)
(Upload your completed template as a Word file)",0,train
"I have read, and can meet, the current model Terms and Conditions for this fund.",0,train
"Specific context for the project presented to A Tree for You: 10.1. Target groups and final beneficiaries: 10.1.7. Is it a particular ethnic group? If so, what are its specific issues?",1,train
"Registered Address, including country",0,train
Has your organisation ever applied for Overseas Development Assistance (ODA)? ? Yes ? No,0,train
"Provide a concise executive summary of the Concept Note, including what specific results you intend to achieve. (maximum300words)",1,train
"Q15.1 Terms and conditions: Confirm you have read and understood, and will adhere to the terms and conditions available from Flexi-Grant or from our website. ? Yes ? No",0,train
15. Expected benefits of this project: 15.2. Describe the expected benefits for people and the associated time frame: 15.2.4. How do you motivate them to participate in the project?,1,train
"Is your proposal dependent on securing cofinancing from other sources? Yes, No, Maybe If so, explain how you would adjust the proposal if this financing was not available",0,train
16. PREVIOUS U.S. GOVERNMENT FUNDING,0,train
"I have attached the below documents to my application:
 a Theory of Change (no more than 2-page A4 PDF)
 A Logframe (template provided)
 Standard Indicators (template provided)
 Risk register (template provided)
 Evidence of the legal status of the lead organisation (i.e., registration certificate)
 a signed copy of the last 3 years of annual report and accounts for the Lead Organisation, or provided an explanation if not",0,train
3. HACT Partner Assessment (to be completed with UNICEF as part of the finalization of the program document),1,train
Geographical coverage,0,train
a) Positioning of your organisation with respect to key stakeholders (maximum200words) This should explain the ability of your organisation to influence critical stakeholders and to engage with stakeholder processes to effect change.,1,train
Partner organisations registered address,0,train
9.2. Is the project presented to A Tree for You a sub-part of a larger project? In what proportion?,1,train
Organisation website,0,train
"Q2.8 Number, type and location of beneficiaries
Tell us the number, type and location of beneficiaries targeted by your project. Where possible, specify how many women and girls, people with disability status, and/or individuals from Indigenous Peoples and Local Communities (IPLCs) will be targeted by your project. Example text has been provided in [square brackets] below. The number of communities is insufficient detail  number of households should be the largest unit used.

[ X households in village X; Y% of households are from minority group Z / X households in region of country 1; X in region of country 2. In total the project aims to support X women and girls / X people with disabilities / X people from IPLCs ]",0,train
"Results: Corresponding Output(s) defined in the country program to which this PCA contributes  Output 1 and 2; Result 1, Result 2, Result 3, Result 4 \nPerformance indicator(s) (*disaggregated by Region) \nBaseline (*) \nTarget (*) \nMeans of verification¹",1,train
"Other organisations, consortium partners, networks or federations - During project implementation Please provide details of any other organisations, consortium partners, networks or federations that you intend to work with in the delivery of your Project.",1,train
How is your organisation currently funded? (Max 50 words),1,train
17. Follow-up and monitoring commitments: ... 17.1. Structures involved in the field: 17.1.3. For the training and awareness of the beneficiaries,1,train
Defra recommend you appoint a safeguarding focal point to ensure the project's PSEAH work is taken forward. This can be a separate member of staff or a current member of staff who spends a proportionate amount of time for safeguarding and PSEAH activities. Please name this individual here  this person should also be included in your overall staff list and in your budget. (Max 10 words),1,train
"Organization Address: e.g. Address1, Address2, City, Country",0,train
Secondary Project Sector & Areas (Please tick AT LEAST ONE relevant sector(s) and indicate its area(s).) Environment - Area(s): Tourism - Area(s): Connectivity - Area(s): Agriculture and Fisheries - Area(s):,0,train
20.1. What is the status of your funding requests outside of A Tree for You (amounts / status)? For which activities are they planned?,1,train
"Partner organisations legal status (select all that apply): National Non-Governmental Organisation (NGO) / Charity; Local NGO / Charity / Civil Society Organisation; Academic / Research Institution; Private Sector Organisation / Business / Business Association; Government Agency; Intergovernmental Organisation; Other, specify below.",0,train
9. PROJECT SUSTAINABILITY,1,train
15. Expected benefits of this project: 15.1. Describe the benefits for the environment and the associated time frame: 15.1.1. For the soils,1,train
The application has been signed by a suitably authorised individual.,0,train
"Q1.3 Lead organisations annual income
Indicate details relating to each of the financial annual report and accounts that you are required to upload in the Section Terms and conditions, and attachments. In the table below, first enter the dates and currency of your organisations financial report and accounts. Then, enter the annual income of the lead organisation in the original currency of the accounts. Finally, convert the original currency and enter the annual income in British Pound Sterling (GBP).
Use an appropriate exchange rate to convert your annual income into GBP. We recommend using this currency converter: https://www.oanda.com/currency-converter/en. When converting to GBP, ensure you set the conversion date to the end date of each of your financial accounts. Do this for each annual report and accounts you are submitting in support of your application. Example text has been provided in [square brackets] below.",0,train
(If copying and pasting into Flexi-Grant) I have checked that all the responses have been successfully copied into the online application form.,0,train
"Project Objective (max.300 words) Please indicate and describe the overall objective, the expected outcomes, and the outputs of the project in detail. It should be consistent with the Logical Framework (Appendix1).",1,train
"Q2.3 Blue Planet Fund outcomes
Which Blue Planet Fund outcome(s) does your project address? Select all that apply.
? Marine Protected Areas (MPAs) and Other Effective Conservation Measures (OECMs)
? Illegal, Unreported, and Unregulated Fishing (IUU)
? International and large-scale fisheries
? Solid waste and other forms of marine pollution
? Critical marine habitats for coastal resilience
? Small-scale fisheries management
? Aquaculture
? None of the above. If so, please tell us how you address protecting the marine environment.",0,train
"Other organisations, consortium partners, networks or federations - At proposal stage Please provide details of any other organisations or consortia that you would like to explore as partners (depending on proposals received and without any commitment at this stage.)",1,train
4.2 Financial Management Micro-Assessment (if applicable):\n- Planned or executed date (if already done) / Not assessed\n- Risk level: Low / moderate / significant / high / not assessed,1,train
Contact Person and Title:,0,train
Proposed Project Start Date: mm.yyyy,0,train
"Q2.9 Key environmental impact(s)
Tell us the key environmental impact(s) targeted by your project. Example text has been provided in [square brackets] below. [X tonnes of plastic removed / Y hectares of mangroves restored/ Z ha of coral reef protected] (Max 50 words)",0,train
12. PROJECT PUBLICITY,1,train
"Q16.2 Certification of the lead applicant:
On behalf of the trustees/company* of [INSERT NAME OF LEAD ORGANISATION] (*delete as appropriate), I apply for a grant of GBP [INSERT VALUE] in respect of all OCEAN Grants Programme expenditure to be incurred during the lifetime of this project based on the activities and dates specified in the above application.

I certify that, to the best of our knowledge and belief, the statements made by us in this application are true and the information provided is correct. I am aware that this application form will form the basis of the project schedule should this application be successful.

I have the authority to submit an application on behalf of my organisation.

This section must be filled in by the lead applicant. You must provide a real (not typed) signature. Do not upload a QR code. If this section is incomplete, the entire application will be rejected.

Name:
Position in organisation:
Signed: Upload signature
Dated:",0,train
"D3. If FGMC is co-funding a project or wider intervention, please state: Funds already secured (donor):",0,train
"Project History (max.200 words) List any related projects or activities, whether current or complete. Describe how this new proposal would complement them. Details of any related current or complete projects may also be included, as well as lessons learned.",1,train
"Q2.4 Marine ecosystems
Does your project have a direct focus on any of the following marine ecosystem(s)? Select all that apply.
? Coral reefs
? Intertidal forests and shrublands (e.g., mangroves)
? Seagrass meadows
? Kelp forests
? Shellfish beds & reefs
? Coastal inlets, riverine estuaries and bays, coastal lakes and lagoons
? Coastal salt marsh or reedbed
? Ocean waters
? Deep sea floors
? Anthropogenic marine biome (artificial structures, marine aquafarms)
? Shorelines (rocky, muddy, sandy, boulder & cobble)
? Coastal Shrublands and Grasslands
? No direct focus on specific ecosystem(s)",0,train
Primary Project Sector & Areas (Please tick ONE most relevant sector and indicate its area(s).) Environment - Area(s): Tourism - Area(s): Connectivity - Area(s): Agriculture and Fisheries - Area(s):,0,train
20.3. What if the project could only be partially funded by A Tree for You donors or with significant delays compared to your expectations?,1,train
2.3 Partner's contribution,1,train
Proposed Project Completion Date: mm.yyyy,0,train
"Q4.10 Project sustainable benefits
Detail how your project will reach a point where benefits can be sustained post-funding from OCEAN. (Max 250 words)",1,train
"Partner organisations number and roles of volunteers: If the organisation relies substantially on volunteers, tell us how many volunteers you have and the role they play in the organisation. If the organisation does not rely substantially on volunteers, indicate N/A.",0,train
"15. Expected benefits of this project: 15.2. Describe the expected benefits for people and the associated time frame: 15.2.2. For the project beneficiaries. Detail: income, in-kind contributions, resilience, health, education, agricultural practices, food, etc.",1,train
"Q2.11 Project budget summary
Your funding request must be in British pound sterling (GBP) and run across each Financial Year (FY) from 01 April to 31 March. Tell us how much funding you are requesting for each financial year. The annual value of your budget must not exceed 25% of the lead organisations annual income.

In the table below, input only figures. Flexi-Grant will automatically generate the currency. Do not separate thousands using commas or add any text, and only use full stops as a decimal place. To answer one thousand GBP, enter 1000.00 (Flexi-Grant will display £1,000.00). To indicate £200.50, enter 200.50. Enter 0 if you are not seeking funding for any given year. Flexi-Grant will calculate the total request. If you need to convert currencies, we recommend: https://www.oanda.com/currency-converter/en

Columns:
 FY2025/26: 01 November 2025  31 March 2026 (GBP)
 FY2026/27: 01 April 2026  31 March 2027 (GBP)
 FY2027/28: 01 April 2027  31 March 2028 (GBP)
 FY2028/29: 01 April 2028  31 March 2029 (GBP)
 Total request GBP",0,train
"Q13.1 Engagement with your respective British embassy or high commission: It is important for UK Government representatives to know if UK funding might be spent in all project primary country/ies. Please use the template provided to request feedback from your project. You should upload the completed template or evidence of your engagement, including details of any advice you have received (mandatory).

NOTE: To contact the British embassy or high commission, go to https://www.gov.uk/world/embassies, search for your project country and click on it. Scroll down to the 'Contact Us' section. There you will find the contact details for you to use. Please send an email and do not worry if you do not receive a response, as long as you can prove you have contacted the embassy / high commission. For example, you can prove this by providing a PDF copy of the email you sent to them. We recommend that you do this at the start of the application process. If you are working in more than one primary country, we highly recommend you contact the British embassy or high commission based in each primary country.

(Upload your evidence as a .pdf file)",1,train
Partner organisations annual income (The annual income is calculated as an average over the past three years),0,train
"Q12.1 Lead organisations project references: Upload reference letters for three recent projects/grants held by the lead organisation that demonstrate your credibility as an organisation and provide track record relevant to the project proposed. These projects/grants should have been held in the last 5 years and be of a similar size to the grant requested in your application.

If you are providing a reference from the Biodiversity Challenge Funds (BCFs), please do not provide a reference letter and instead complete the table below and this reference will be checked internally.

(Merge your project references and upload them as a single .pdf file. All project references must be on the letterhead of the funder and include the monetary amount of the project/grant. No template is provided. Do not upload a copy of the contract.)

As an alternative (not preferred) to uploading reference letters, complete the information below:

Contract/Project 1
   Title
   Contract value/project budget (include currency)
   Duration (in months)
   Role of organisation in project (Max 50 words)
   Brief summary of the aims, objectives and outcomes of the project (Max 100 words)
   Client/independent reference contact details (Name, e-mail) (Max 25 words)

Contract/Project 2
   Title
   Contract value/project budget (include currency)",1,train
